,index,item_id,User_type,User_type_2
0,0,3252,A,A
1,1,103372,A,A
2,2,14,B,B
3,3,1093,B,B
4,4,136562,B,B
5,5,5009,B,B
6,6,98154,B,B
7,7,697,B,B
8,8,68159,B,B
9,9,1608,B,B
10,10,103883,B,B
11,11,1377,B,B
12,12,6322,B,B
13,13,30793,B,B
14,14,168252,B,B
15,15,91658,B,B
16,16,34048,B,B
17,17,56757,B,B
18,18,34437,A,A
19,19,595,A,A
20,20,1036,A,A
21,21,7000,A,A
22,22,174055,A,A
23,23,40732,A,A
24,24,105653,B,B
25,25,3178,B,B
26,26,1320,B,B
27,27,8371,B,B
28,28,5782,B,B
29,29,2881,B,B
30,30,166635,B,B
31,31,3257,B,B
32,32,1088,B,B
33,33,84954,B,B
34,34,231,B,B
35,35,1569,B,B
36,36,1721,B,B
37,37,357,B,B
38,38,82202,B,B
39,39,597,B,B
40,40,103335,B,B
41,41,70183,B,B
42,42,156387,A,A
43,43,1834,B,B
44,44,1464,B,B
45,45,1620,B,B
46,46,45447,B,B
47,47,5418,B,B
48,50,74458,B,B
49,51,4896,B,B
50,52,492,B,B
51,53,73017,B,B
52,54,4226,B,B
53,55,1367,A,A
54,56,631,A,A
55,57,1911,A,A
56,58,73290,A,A
57,59,117444,A,A
58,60,239,A,A
59,61,122914,B,B
60,62,8368,B,B
61,63,316,B,B
62,64,1265,B,B
63,65,2012,B,A
64,66,94777,B,B
65,67,114935,B,B
66,68,2985,B,B
67,69,2012,A,A
68,70,480,A,A
69,71,589,A,A
70,72,2916,A,A
71,73,1722,A,A
72,75,8526,A,A
73,76,2989,A,A
74,77,48982,A,A
75,78,1270,B,B
76,79,1587,B,B
77,80,4967,B,B
78,81,46578,B,B
79,82,6807,B,B
80,83,3052,B,B
81,84,312,B,B
82,85,49396,B,B
83,86,54995,B,B
84,87,94677,B,B
85,88,4467,B,B
86,89,187593,B,B
87,90,1288,B,B
88,91,2502,B,B
89,92,6873,B,B
90,93,2325,B,B
91,94,83134,B,B
92,95,1676,B,B
93,96,77800,B,B
94,97,8366,B,B
95,98,192803,B,B
96,99,168492,B,B
97,100,1821,B,B
98,101,87869,B,B
99,102,159415,B,B
100,103,6659,B,B
101,104,183611,B,B
102,106,74275,B,B
103,107,410,B,B
104,108,7419,B,B
105,109,48142,B,B
106,110,784,B,B
107,111,116897,B,B
108,112,2858,B,B
109,113,1199,B,B
110,114,6957,B,B
111,115,6266,B,A
112,116,4246,B,B
113,117,58154,B,B
114,118,43560,B,B
115,119,159858,B,B
116,120,2340,B,B
117,121,4992,B,B
118,122,1249,B,B
119,123,7361,B,B
120,124,2424,B,B
121,126,89,B,B
122,127,109578,B,B
123,128,63062,B,B
124,129,836,B,B
125,130,5459,B,B
126,131,2916,B,A
127,132,2058,B,B
128,133,111781,B,B
129,134,3386,B,B
130,135,1965,B,B
131,136,4248,B,B
132,137,103339,B,B
133,138,68237,B,B
134,139,62081,B,B
135,140,589,B,A
136,141,3156,B,B
137,142,611,B,B
138,143,1240,B,B
139,144,6537,B,B
140,145,122892,B,B
141,146,8644,B,B
142,147,5445,B,B
143,148,120799,B,B
144,149,710,B,B
145,150,2952,B,B
146,151,6001,B,B
147,152,97306,B,B
148,153,427,B,B
149,154,1783,B,B
150,155,81847,B,B
151,156,36519,B,B
152,157,117590,B,B
153,158,41,B,B
154,159,96861,B,B
155,160,5016,B,B
156,161,132480,B,B
157,162,224,B,B
158,163,49274,B,B
159,164,56174,B,B
160,165,207,B,B
161,166,110730,B,B
162,167,3824,B,B
163,168,36527,B,B
164,169,104211,B,B
165,171,135567,B,B
166,172,1726,B,B
167,174,55442,B,B
168,175,4128,B,B
169,176,1660,B,B
170,177,2772,B,B
171,178,4232,B,B
172,179,90249,B,B
173,180,39435,B,B
174,181,112175,B,B
175,182,30825,B,B
176,183,2815,B,B
177,184,39444,B,B
178,185,62394,B,B
179,186,428,B,B
180,187,5957,B,B
181,188,72641,B,B
182,189,6618,B,B
183,190,725,B,B
184,191,64839,B,B
185,192,146656,B,B
186,193,33646,B,B
187,194,3554,B,B
188,195,782,B,B
189,196,104,B,B
190,197,88125,B,B
191,198,58559,B,B
192,199,54259,B,B
193,200,1321,B,B
194,201,4011,B,B
195,202,527,B,B
196,203,1291,B,B
197,204,3147,B,B
198,205,48774,B,B
199,206,48516,B,B
200,207,142997,A,A
201,208,86880,A,A
202,210,3988,B,B
203,211,6936,B,B
204,212,1036,B,A
205,213,8965,B,B
206,214,4023,B,B
207,215,586,B,B
208,216,2003,B,B
209,217,1359,B,B
210,218,1707,B,B
211,219,2953,B,B
212,220,7347,B,B
213,221,509,B,B
214,222,2872,B,B
215,223,112556,B,B
216,224,2443,B,B
217,225,65130,B,B
218,226,99112,A,A
219,227,108188,B,B
220,228,3986,B,B
221,230,5388,B,B
222,231,18,B,B
223,232,6880,B,B
224,233,4056,B,B
225,234,175569,B,B
226,235,177763,B,B
227,236,762,B,B
228,237,34534,B,B
229,238,70336,B,B
230,239,3176,B,B
231,240,1985,B,B
232,241,2798,B,B
233,242,8957,B,B
234,243,48997,B,A
235,244,48997,A,A
236,245,7149,B,B
237,246,4489,B,B
238,247,6367,B,B
239,248,106918,B,B
240,249,2518,B,B
241,250,709,B,B
242,251,113348,B,B
243,252,2470,B,B
244,257,47518,A,A
245,258,179,A,A
246,259,4214,A,A
247,260,3708,A,A
248,261,1297,A,A
249,262,2473,A,A
250,263,2836,A,A
251,264,133419,A,A
252,265,1840,A,A
253,266,2707,A,A
254,267,6707,A,A
255,268,6266,A,A
256,269,6954,A,A
257,270,1216,A,A
258,271,828,A,A
